handler_addr	prot_name	direction	opcode	size	current_symbol	name_source
0x0012a040	TEXT_COORD	SERVER	182	-1	jag::PacketHandlers::TextCoord	OFFICIAL
0x0016ae50	MAP_ANIM_ALT	SERVER	183	14	jag::PacketHandlers::MapAnimAlt	ASSIGNED
0x00186ea0	IF_SETOBJECT_LONG	SERVER	185	14	jag::PacketHandlers::IfSetobjectLong	OFFICIAL
0x0011d150	TELEMETRY_GRID_FULL	SERVER	189	-2	jag::PacketHandlers::TelemetryGridFull	OFFICIAL
0x000edce0	TELEMETRY_GRID_VALUES_DELTA	SERVER	190	-2	jag::PacketHandlers::TelemetryGridValuesDelta	OFFICIAL
0x00117380	PLAYER_GROUP_VARPS	SERVER	193	-2	jag::PacketHandlers::PlayerGroupVarps	OFFICIAL
0x000f00a0	VORBIS_SOUND_GROUP_STOP	SERVER	195	2	jag::PacketHandlers::VorbisSoundGroupStop	OFFICIAL
0x00147d90	MESSAGE_PLAYER_GROUP	SERVER	196	-1	jag::PacketHandlers::MessagePlayerGroup	OFFICIAL
0x000f3e80	STORE_SERVERPERM_VARCS_ACK	SERVER	200	0	jag::PacketHandlers::StoreServerpermVarcsAck	OFFICIAL
0x000edfd0	CLEAR_PLAYER_SNAPSHOT	SERVER	201	1	jag::PacketHandlers::ClearPlayerSnapshot	OFFICIAL
0x000f3510	OBJ_COUNT	SERVER	202	7	jag::PacketHandlers::ObjCount	OFFICIAL
0x000f25c0	PLAYER_ANIM_SPECIFIC	SERVER	203	17	jag::PacketHandlers::PlayerAnimSpecific	OFFICIAL
0x000ee370	REDUCE_NPC_ATTACK_PRIORITY	SERVER	204	1	jag::PacketHandlers::ReduceNpcAttackPriority	OFFICIAL
0x000f0600	SOUND_MIXBUSS_ADD	SERVER	206	6	jag::PacketHandlers::SoundMixbussAdd	OFFICIAL
0x001b7d40	JS5_RELOAD	SERVER	208	0	jag::PacketHandlers::Js5Reload	OFFICIAL
0x00147780	MESSAGE_QUICKCHAT_PLAYER_GROUP	SERVER	214	-1	jag::PacketHandlers::MessageQuickchatPlayerGroup	OFFICIAL
0x000f18e0	MAP_PROJANIM_ALT	SERVER	215	28	jag::PacketHandlers::MapProjanimAlt	ASSIGNED
0x000f04f0	SOUND_MIXBUSS_SETLEVEL	SERVER	217	6	jag::PacketHandlers::SoundMixbussSetlevel	OFFICIAL
0x000ead00	VORBIS_PRELOAD_SOUND_GROUP	SERVER	219	2	jag::PacketHandlers::VorbisPreloadSoundGroup	OFFICIAL
0x00186be0	CUTSCENE2D_PLAY	SERVER	221	2	jag::PacketHandlers::Cutscene2dPlay	OFFICIAL
0x001e0480	DBFILTER_DEBUG	SERVER	222	-2	jag::PacketHandlers::DbfilterDebug	OFFICIAL
0x001c2870	MISC_NEW_945	SERVER	227	0	jag::PacketHandlers::MiscNew945	OFFICIAL
0x001880c0	JCOINS_UPDATE	SERVER	229	4	jag::PacketHandlers::JcoinsUpdate	OFFICIAL
