direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source,name,name_src
SERVER,49,-2,0x01454c80,0x00143500,jag::PacketHandlers::MessagePrivateEcho,BINDER,MESSAGE_PRIVATE_ECHO,KNOWN
SERVER,50,6,0x01470d60,0x00116810,FUN_00116810,BINDER,UNKNOWN_50,NONE
SERVER,51,6,0x01470ea0,0x00116970,FUN_00116970,BINDER,UNKNOWN_51,NONE
SERVER,52,8,0x01470060,0x00186d60,FUN_00186d60,BINDER,UNKNOWN_52,NONE
SERVER,53,-1,0x01454c40,0x00133a90,jag::PacketHandlers::MessageClanchannelSystem,BINDER,MESSAGE_CLANCHANNEL_SYSTEM,KNOWN
SERVER,54,3,0x01470da0,0x001168d0,FUN_001168d0,BINDER,UNKNOWN_54,NONE
SERVER,55,6,0x01454c00,0x000ea6e0,FUN_000ea6e0,BINDER,UNKNOWN_55,NONE
SERVER,56,-1,0x01470d20,0x001567e0,jag::PacketHandlers::ClientSetvarcstrSmall,BINDER,CLIENT_SETVARCSTR_SMALL,KNOWN
SERVER,57,10,0x01454bc0,0x00153de0,FUN_00153de0,BINDER,UNKNOWN_57,NONE
SERVER,58,1,0x01454b80,0x000ef310,jag::PacketHandlers::Logout,BINDER,LOGOUT,KNOWN
SERVER,59,-1,0x01454b40,0x001490f0,jag::PacketHandlers::MessageQuickchatPrivate,BINDER,MESSAGE_QUICKCHAT_PRIVATE,KNOWN
SERVER,60,29,0x014702a0,0x001e0b20,jag::PacketHandlers::IfOpensubActiveObj,BINDER,IF_OPENSUB_ACTIVE_OBJ,KNOWN
SERVER,61,-1,0x014707e0,0x00140e50,jag::PacketHandlers::SetPlayerOp,BINDER,SET_PLAYER_OP,KNOWN
SERVER,62,-1,0x01471aa0,0x0013a260,FUN_0013a260,BINDER,UNKNOWN_62,NONE
SERVER,63,-2,0x01454b00,0x0019a040,jag::PacketHandlers::UpdateFriendchatChannelFull,BINDER,UPDATE_FRIENDCHAT_CHANNEL_FULL,KNOWN
SERVER,64,-2,0x01454ac0,0x001e1210,jag::PacketHandlers::RebuildNormal,BINDER,REBUILD_NORMAL,KNOWN
SERVER,65,1,0x01454a80,0x00175c00,jag::PacketHandlers::MinimapToggle,BINDER,MINIMAP_TOGGLE,KNOWN
SERVER,66,-2,0x01454a40,0x00197dd0,jag::PacketHandlers::UpdateIgnorelist,BINDER,UPDATE_IGNORELIST,KNOWN
SERVER,67,12,0x01454a00,0x0016a910,jag::PacketHandlers::SpotanimSpecific,BINDER,SPOTANIM_SPECIFIC,KNOWN
SERVER,68,2,0x014549c0,0x000ea580,FUN_000ea580,BINDER,UNKNOWN_68,NONE
SERVER,69,25,0x01454980,0x000f1210,FUN_000f1210,BINDER,UNKNOWN_69,NONE
SERVER,70,10,0x0146fe60,0x00187180,FUN_00187180,BINDER,UNKNOWN_70,NONE
SERVER,71,25,0x01470320,0x00187b20,FUN_00187b20,BINDER,UNKNOWN_71,NONE
SERVER,72,-1,0x01454940,0x001a1de0,jag::PacketHandlers::UpdateFriendchatChannelSingleuser,BINDER,UPDATE_FRIENDCHAT_CHANNEL_SINGLEUSER,KNOWN
SERVER,73,19,0x014703e0,0x00186c70,jag::PacketHandlers::IfOpentop,BINDER,IF_OPENTOP,KNOWN
SERVER,74,1,0x01454900,0x00177130,jag::PacketHandlers::ChatFilterSettingsPrivatechat,BINDER,CHAT_FILTER_SETTINGS_PRIVATECHAT,KNOWN
SERVER,75,-2,0x014548c0,0x0014a470,jag::PacketHandlers::MessagePrivate,BINDER,MESSAGE_PRIVATE,KNOWN
SERVER,76,-2,0x01454880,,UNBOUND,UNBOUND,UNKNOWN_76,NONE
SERVER,77,4,0x01470860,0x0011ddb0,jag::PacketHandlers::LastLoginInfo,BINDER,LAST_LOGIN_INFO,KNOWN
