# Opcode handler mappings - 2244 handlers
# Format: opcode_id (decimal) | opcode_id (hex) | handler_address

 220 | 0x00dc | 0x004360c0
 221 | 0x00dd | 0x003916d0
 222 | 0x00de | 0x0038f0c0
 223 | 0x00df | 0x00436930
 224 | 0x00e0 | 0x00395020
 225 | 0x00e1 | 0x00392fc0
 226 | 0x00e2 | 0x0035bc20
 227 | 0x00e3 | 0x003cf5c0
 228 | 0x00e4 | 0x003df8a0
 229 | 0x00e5 | 0x00369950
 230 | 0x00e6 | 0x00398f20
 231 | 0x00e7 | 0x0037e310
 232 | 0x00e8 | 0x00391e40
 233 | 0x00e9 | 0x00387410
 234 | 0x00ea | 0x0037c940
 235 | 0x00eb | 0x003976a0
 236 | 0x00ec | 0x003bfed0
 237 | 0x00ed | 0x00396050
 238 | 0x00ee | 0x00362780
 239 | 0x00ef | 0x00392b60
 240 | 0x00f0 | 0x00362a00
 241 | 0x00f1 | 0x0043d270
 242 | 0x00f2 | 0x003c1000
 243 | 0x00f3 | 0x0036c540
 244 | 0x00f4 | 0x0048f1c0
 245 | 0x00f5 | 0x00385960
 246 | 0x00f6 | 0x00435e80
 247 | 0x00f7 | 0x003842b0
 248 | 0x00f8 | 0x003d4750
 249 | 0x00f9 | 0x00387fe0
 250 | 0x00fa | 0x003e0270
 251 | 0x00fb | 0x003b1900
 252 | 0x00fc | 0x003c1910
 253 | 0x00fd | 0x00362650
 254 | 0x00fe | 0x0038b0e0
 255 | 0x00ff | 0x00395a30
 256 | 0x0100 | 0x003dd6e0
 257 | 0x0101 | 0x003590d0
 258 | 0x0102 | 0x003b3630
 259 | 0x0103 | 0x00399620
 260 | 0x0104 | 0x0038c420
 261 | 0x0105 | 0x00396360
 262 | 0x0106 | 0x003c1d10
 263 | 0x0107 | 0x003d0200
 264 | 0x0108 | 0x00382db0
 265 | 0x0109 | 0x00398e40
 266 | 0x010a | 0x003bde50
 267 | 0x010b | 0x00435390
 268 | 0x010c | 0x003d00b0
 269 | 0x010d | 0x003da500
 270 | 0x010e | 0x00384bf0
 271 | 0x010f | 0x003875d0
 272 | 0x0110 | 0x0038bee0
 273 | 0x0111 | 0x003c9340
 274 | 0x0112 | 0x00393030
 275 | 0x0113 | 0x0038b540
 276 | 0x0114 | 0x00435f00
 277 | 0x0115 | 0x0038e4f0
 278 | 0x0116 | 0x003c8d60
 279 | 0x0117 | 0x00388210
 280 | 0x0118 | 0x00362310
 281 | 0x0119 | 0x00362a60
 282 | 0x011a | 0x00435410
 283 | 0x011b | 0x003d3f80
 284 | 0x011c | 0x0038c9d0
 285 | 0x011d | 0x003ce590
